Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
4,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.76,0.761,0.695,1740.3471336364746
4,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.757,0.754,0.695,1311.2947480678558
4,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.755,0.746,0.679,1150.4893708229065
4,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.758,0.754,0.708,1525.0922532081604
4,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.762,0.761,0.705,1576.419856786728
4,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.757,0.761,0.679,1363.406798839569
4,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.762,0.746,0.675,1149.6095995903015
4,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.761,0.682,1363.9145166873932
4,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.762,0.754,0.689,2258.8538439273834
5,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.767,0.754,0.698,2440.2980353832245
5,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.755,0.754,0.675,1836.11945271492
5,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.76,0.761,0.702,2083.539613008499
5,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.75,0.761,0.685,1715.341138601303
5,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.762,0.761,0.692,1605.4970054626465
5,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.755,0.754,0.682,1525.1739814281464
5,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.765,0.768,0.711,3490.005218744278
5,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.762,0.746,0.682,1765.6251418590546
5,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.757,0.746,0.695,1382.4399609565735
5,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.75,0.754,0.679,1154.9356491565704
5,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.757,0.746,0.689,1171.257428407669
5,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.76,0.754,0.689,1204.186360836029
5,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.755,0.746,0.685,1151.7511987686157
5,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.751,0.746,0.698,1151.9429891109467
5,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.754,0.692,1205.7502343654633
5,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.753,0.754,0.679,1166.5142023563385
6,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.751,0.754,0.682,2600.954255104065
6,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.758,0.754,0.689,4540.413749933243
6,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.76,0.746,0.698,1895.0049648284912
6,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.769,0.754,0.685,2596.3191483020782
6,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.758,0.754,0.682,2559.818770170212
