Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time,Train_F1,Dev_F1,Test_F1
0,orneuron_probsum-prod,3,all,0.2,0.5,0.5,80,20,50,70,plus,0.508,0.514,0.462,39983.989187955856,0.368,0.377,0.331
0,orneuron_probsum-prod,3,all,0.2,0.5,0.8,80,20,50,70,plus,0.474,0.493,0.443,39832.07874202728,0.335,0.342,0.309
0,orneuron_probsum-prod,3,all,0.2,0.8,0.2,80,20,50,70,plus,0.478,0.507,0.446,46551.15277123451,0.361,0.385,0.336
0,orneuron_probsum-prod,3,all,0.2,0.8,0.5,80,20,50,70,plus,0.522,0.528,0.492,57275.6902987957,0.388,0.398,0.365
0,orneuron_probsum-prod,3,all,0.2,0.8,0.8,80,20,50,70,plus,0.497,0.521,0.475,55463.34308624268,0.363,0.391,0.346
0,orneuron_probsum-prod,3,all,0.5,0.2,0.2,80,20,50,70,plus,0.443,0.5,0.41,31051.79730796814,0.34,0.382,0.314
0,orneuron_probsum-prod,3,all,0.5,0.2,0.5,80,20,50,70,plus,0.513,0.535,0.459,53039.73539042473,0.376,0.399,0.331
0,orneuron_probsum-prod,3,all,0.5,0.2,0.8,80,20,50,70,plus,0.462,0.507,0.462,32194.77733111381,0.34,0.382,0.341
0,orneuron_probsum-prod,3,all,0.5,0.5,0.2,80,20,50,70,plus,0.464,0.507,0.443,31105.850984811783,0.34,0.377,0.324
0,orneuron_probsum-prod,3,all,0.5,0.5,0.5,80,20,50,70,plus,0.481,0.521,0.452,33075.03510594368,0.353,0.393,0.33
0,orneuron_probsum-prod,3,all,0.5,0.5,0.8,80,20,50,70,plus,0.444,0.514,0.407,30990.9300467968,0.302,0.378,0.272
0,orneuron_probsum-prod,3,all,0.5,0.8,0.2,80,20,50,70,plus,0.487,0.5,0.456,44333.50054597855,0.357,0.373,0.329
0,orneuron_probsum-prod,3,all,0.5,0.8,0.5,80,20,50,70,plus,0.462,0.507,0.42,32796.379385471344,0.335,0.376,0.298
0,orneuron_probsum-prod,3,all,0.5,0.8,0.8,80,20,50,70,plus,0.492,0.514,0.433,33129.25988483429,0.355,0.376,0.302
0,orneuron_probsum-prod,3,all,0.8,0.2,0.2,80,20,50,70,plus,0.459,0.472,0.423,26603.345985889435,0.304,0.318,0.268
0,orneuron_probsum-prod,3,all,0.8,0.2,0.5,80,20,50,70,plus,0.52,0.528,0.452,37550.69395065308,0.383,0.392,0.328
0,orneuron_probsum-prod,3,all,0.8,0.2,0.8,80,20,50,70,plus,0.425,0.451,0.413,24793.082256793976,0.272,0.306,0.266
0,orneuron_probsum-prod,3,all,0.8,0.5,0.2,80,20,50,70,plus,0.489,0.521,0.459,29696.000264406204,0.362,0.392,0.34
0,orneuron_probsum-prod,3,all,0.8,0.5,0.5,80,20,50,70,plus,0.499,0.528,0.462,31143.172512292866,0.373,0.402,0.339
0,orneuron_probsum-prod,3,all,0.8,0.5,0.8,80,20,50,70,plus,0.492,0.535,0.433,27409.36741757393,0.357,0.395,0.308
0,orneuron_probsum-prod,3,all,0.8,0.8,0.2,80,20,50,70,plus,0.466,0.507,0.42,22053.628526210785,0.344,0.379,0.303
0,orneuron_probsum-prod,3,all,0.8,0.8,0.5,80,20,50,70,plus,0.49,0.514,0.436,26976.395973920826,0.364,0.388,0.321
0,orneuron_probsum-prod,3,all,0.8,0.8,0.8,80,20,50,70,plus,0.48,0.507,0.439,25238.86588573456,0.335,0.361,0.298
